Date,P.D,Temp
2017-01-07,13742.7925,3.8
2017-01-08,13948.285,4.3
2017-01-08,13486.37125,4.6
2017-01-08,13287.145,4.9
2017-01-08,13154.33875,4.8
2017-01-08,13171.61875,4.4
2017-01-08,13387.55125,4.1
2017-01-08,13263.5425,4
2017-01-08,13445.815,4.2
2017-01-08,13491.34375,4.1
2017-01-08,13919.665,4.8
2017-01-08,14095.78375,6.7
2017-01-08,14348.4475,9.2
2017-01-08,14569.465,10.3
2017-01-08,14562.13,10.4
2017-01-08,14567.305,10.6
2017-01-08,14633.06125,9.8
2017-01-08,14771.9425,9.5
2017-01-08,14540.90125,8.9
2017-01-08,14571.56875,8.2
2017-01-08,14472.79375,7.4
2017-01-08,14322.08875,6.7
2017-01-08,14480.4325,6
2017-01-08,14472.20875,5.4
2017-01-08,14627.21125,4.6
2017-01-09,14111.6575,4
2017-01-09,13780.01875,3.8
2017-01-09,13664.8075,3.6
2017-01-09,13615.72375,3.4
2017-01-09,13747.7875,3.2
2017-01-09,14086.9975,3
2017-01-09,15679.51375,2.7
2017-01-09,18024.025,2.5
2017-01-09,19506.73,1.9
2017-01-09,19662.3175,1.6
2017-01-09,19898.48875,1.7
2017-01-09,19571.035,2.3
2017-01-09,19025.62375,3.2
2017-01-09,19514.03125,3.9
2017-01-09,19285.4425,3.6
2017-01-09,19080.13,3.7
2017-01-09,18854.24125,3.5
2017-01-09,19004.22625,2.4
2017-01-09,17723.515,1.3
2017-01-09,17053.38625,0.8
2017-01-09,16425.3775,0
2017-01-09,15780.17875,-0.8
2017-01-09,14746.95625,-1.6
2017-01-09,14675.58625,-2.5
2017-01-10,14735.4925,-3.1
2017-01-10,14324.18125,-3.7
2017-01-10,14140.28875,-3.9
2017-01-10,14117.71,-4.2
2017-01-10,14205.6625,-4.5
2017-01-10,14568.115,-4.8
2017-01-10,16093.89625,-5.1
2017-01-10,18354.69625,-5.3
2017-01-10,19972.60375,-5.4
2017-01-10,20015.80375,-4.4
2017-01-10,20042.365,-2.2
2017-01-10,19687.66375,-0.5
2017-01-10,19043.05,-0.5
2017-01-10,19663.6225,0.7
2017-01-10,19572.5875,0.8
2017-01-10,19518.025,0.4
2017-01-10,19709.005,-0.5
2017-01-10,19084.10125,-1.5
2017-01-10,17526.82,-2.8
2017-01-10,17022.40375,-3.7
2017-01-10,16658.5675,-4.5
2017-01-10,16063.6,-5.5
2017-01-10,15743.00875,-6.2
2017-01-10,15533.30875,-7
2017-01-11,14851.33375,-7.4
2017-01-11,14354.5,-7.5
2017-01-11,14185.0975,-7.8
2017-01-11,14189.38375,-8
2017-01-11,14208.43,-8.2
2017-01-11,14419.2325,-8.5
2017-01-11,16070.44,-8.8
2017-01-11,19005.34,-9.1
2017-01-11,20200.6525,-9.4
2017-01-11,20457.4675,-7.9
2017-01-11,20687.31625,-4.5
2017-01-11,19885.73125,-2.3
2017-01-11,19068.17125,-0.8
2017-01-11,20012.11375,-0.1
2017-01-11,19758.6625,1
2017-01-11,19718.8375,1
2017-01-11,19604.14375,0.5
2017-01-11,19054.21,-0.5
